Date,AAPL,AMZN,GOOG,MSFT
1/3/2013,55.41053,258.480011,359.496826,23.555593
1/4/2013,53.867073,259.149994,366.600616,23.114735
1/7/2013,53.550209,268.459991,365.001007,23.071518
1/8/2013,53.694336,266.380005,364.280701,22.950497
1/9/2013,52.855141,266.350006,366.67514,23.08016
1/10/2013,53.510345,265.339996,368.344269,22.8727
1/11/2013,53.182232,267.940002,367.604095,23.192533
1/14/2013,51.286152,272.730011,359.288177,23.244404
1/15/2013,49.668106,271.899994,360.122742,23.521017
1/16/2013,51.729763,268.929993,355.28421,23.374062
1/17/2013,51.381218,270.480011,353.361725,23.555593
1/18/2013,51.107292,272.119995,349.978729,23.555593
1/22/2013,51.594852,270.190002,349.164032,23.469151
1/23/2013,52.539307,268.109985,368.354218,23.866785
1/24/2013,46.047665,273.459991,374.668152,23.884071
1/25/2013,44.962143,283.98999,374.399902,24.100185
1/28/2013,45.979191,276.040009,372.939392,24.126118
1/29/2013,46.841866,260.350006,374.404846,24.212557
1/30/2013,46.694683,272.76001,374.47937,24.074249
1/31/2013,46.557709,265.5,375.403351,23.728479
2/1/2013,46.36657,265,385.294037,24.143406
2/4/2013,45.211544,259.980011,377.057617,23.719833
2/5/2013,46.79792,266.890015,380.395905,23.771704
2/6/2013,46.747833,262.220001,382.596588,23.63339
2/7/2013,49.882107,260.230011,384.474365,23.581528
2/8/2013,50.602283,261.950012,390.147461,23.814926
2/11/2013,51.129639,257.209991,388.682007,24.082897
2/12/2013,49.848011,258.700012,387.827545,24.100185
2/13/2013,49.753197,269.470001,388.900574,24.229847
2/14/2013,49.708454,269.23999,391.364563,24.238489
2/15/2013,49.023434,265.089996,393.883179,24.212557
2/19/2013,49.005325,269.75,400.818054,24.447884
2/20/2013,47.818512,266.410004,393.669556,24.290998
2/21/2013,47.521278,265.940002,395.194641,23.959803
2/22/2013,48.027321,265.420013,397.271149,24.195127
2/25/2013,47.173977,259.869995,392.830017,23.855209
2/26/2013,47.831299,259.359985,392.512085,23.855209
2/27/2013,47.362541,263.25,397.305908,24.238705
